data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,train_users,test_users,users_to_predict,prediction_time
MovieLens-100K,DMF,1,./data_sets/MovieLens-100K/checkpoint_DMF/config_0/fold_1/DMF-Apr-25-2025_13-40-56.pth,0,"{'user_embedding_size': 64, 'item_embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,0.806361198425293
MovieLens-100K,DMF,2,./data_sets/MovieLens-100K/checkpoint_DMF/config_0/fold_2/DMF-Apr-25-2025_13-42-33.pth,0,"{'user_embedding_size': 64, 'item_embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,0.7796003818511963
MovieLens-100K,DMF,3,./data_sets/MovieLens-100K/checkpoint_DMF/config_0/fold_3/DMF-Apr-25-2025_13-43-43.pth,0,"{'user_embedding_size': 64, 'item_embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,0.7469475269317627
MovieLens-100K,DMF,4,./data_sets/MovieLens-100K/checkpoint_DMF/config_0/fold_4/DMF-Apr-25-2025_13-48-26.pth,0,"{'user_embedding_size': 64, 'item_embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,0.7986810207366943
MovieLens-100K,EASE,0,./data_sets/MovieLens-100K/checkpoint_EASE/config_0/fold_0/EASE-Apr-25-2025_18-47-26.pth,0,"{'epochs': 1, 'reg_weight': 250}",0,711,711,711,0.4991283416748047
MovieLens-100K,EASE,1,./data_sets/MovieLens-100K/checkpoint_EASE/config_0/fold_1/EASE-Apr-25-2025_18-47-51.pth,0,"{'epochs': 1, 'reg_weight': 250}",1,711,711,711,0.4918551445007324
MovieLens-100K,EASE,2,./data_sets/MovieLens-100K/checkpoint_EASE/config_0/fold_2/EASE-Apr-25-2025_18-48-05.pth,0,"{'epochs': 1, 'reg_weight': 250}",2,711,711,711,0.5316622257232666
MovieLens-100K,EASE,3,./data_sets/MovieLens-100K/checkpoint_EASE/config_0/fold_3/EASE-Apr-25-2025_18-48-20.pth,0,"{'epochs': 1, 'reg_weight': 250}",3,711,711,711,0.5288467407226562
MovieLens-100K,EASE,4,./data_sets/MovieLens-100K/checkpoint_EASE/config_0/fold_4/EASE-Apr-25-2025_18-48-37.pth,0,"{'epochs': 1, 'reg_weight': 250}",4,711,711,711,0.4947323799133301
MovieLens-100K,ENMF,0,./data_sets/MovieLens-100K/checkpoint_ENMF/config_0/fold_0/ENMF-Apr-25-2025_15-08-03.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,711,711,711,0.46376919746398926
MovieLens-100K,ENMF,1,./data_sets/MovieLens-100K/checkpoint_ENMF/config_0/fold_1/ENMF-Apr-25-2025_15-08-14.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,711,711,711,0.5452561378479004
MovieLens-100K,ENMF,2,./data_sets/MovieLens-100K/checkpoint_ENMF/config_0/fold_2/ENMF-Apr-25-2025_15-08-24.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,711,711,711,0.431473970413208
MovieLens-100K,ENMF,3,./data_sets/MovieLens-100K/checkpoint_ENMF/config_0/fold_3/ENMF-Apr-25-2025_15-08-35.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,711,711,711,0.45465826988220215
MovieLens-100K,ENMF,4,./data_sets/MovieLens-100K/checkpoint_ENMF/config_0/fold_4/ENMF-Apr-25-2025_15-08-46.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,711,711,711,0.5358569622039795
