data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,setup_time,training_time
clothes,FwFM,4,./data_sets/clothes/checkpoint_FwFM/config_0/fold_4/FwFM-May-23-2025_15-43-44.pth,0,{},4,1.766294240951538,2.097200870513916
clothes,LR,0,./data_sets/clothes/checkpoint_LR/config_0/fold_0/LR-May-23-2025_15-31-46.pth,0,{},0,1.8051793575286865,1.1885986328125
clothes,LR,1,./data_sets/clothes/checkpoint_LR/config_0/fold_1/LR-May-23-2025_15-31-52.pth,0,{},1,1.7802071571350098,1.185657024383545
clothes,LR,2,./data_sets/clothes/checkpoint_LR/config_0/fold_2/LR-May-23-2025_15-31-58.pth,0,{},2,1.7837097644805908,1.1783013343811035
clothes,LR,3,./data_sets/clothes/checkpoint_LR/config_0/fold_3/LR-May-23-2025_15-32-04.pth,0,{},3,1.8576598167419434,1.1829144954681396
clothes,LR,4,./data_sets/clothes/checkpoint_LR/config_0/fold_4/LR-May-23-2025_15-32-10.pth,0,{},4,1.7765107154846191,1.194936990737915
clothes,NFM,0,./data_sets/clothes/checkpoint_NFM/config_0/fold_0/NFM-May-23-2025_15-32-16.pth,0,"{'n_factors': 15, 'n_epochs': 10}",0,1.767458200454712,3.2553906440734863
clothes,NFM,1,./data_sets/clothes/checkpoint_NFM/config_0/fold_1/NFM-May-23-2025_15-32-24.pth,0,"{'n_factors': 15, 'n_epochs': 10}",1,1.7882003784179688,3.2041268348693848
clothes,NFM,2,./data_sets/clothes/checkpoint_NFM/config_0/fold_2/NFM-May-23-2025_15-32-33.pth,0,"{'n_factors': 15, 'n_epochs': 10}",2,1.789829969406128,3.1751415729522705
clothes,NFM,3,./data_sets/clothes/checkpoint_NFM/config_0/fold_3/NFM-May-23-2025_15-32-41.pth,0,"{'n_factors': 15, 'n_epochs': 10}",3,1.7507922649383545,3.2263314723968506
clothes,NFM,4,./data_sets/clothes/checkpoint_NFM/config_0/fold_4/NFM-May-23-2025_15-32-49.pth,0,"{'n_factors': 15, 'n_epochs': 10}",4,1.7421846389770508,3.1559627056121826
clothes,PNN,0,./data_sets/clothes/checkpoint_PNN/config_0/fold_0/PNN-May-23-2025_15-43-51.pth,0,{},0,1.7748758792877197,3.9154436588287354
clothes,PNN,1,./data_sets/clothes/checkpoint_PNN/config_0/fold_1/PNN-May-23-2025_15-44-00.pth,0,{},1,1.8090298175811768,3.8652265071868896
clothes,PNN,2,./data_sets/clothes/checkpoint_PNN/config_0/fold_2/PNN-May-23-2025_15-44-08.pth,0,{},2,1.7846295833587646,4.076063871383667
clothes,PNN,3,./data_sets/clothes/checkpoint_PNN/config_0/fold_3/PNN-May-23-2025_15-44-17.pth,0,{},3,1.773137092590332,3.8762311935424805
clothes,PNN,4,./data_sets/clothes/checkpoint_PNN/config_0/fold_4/PNN-May-23-2025_15-44-26.pth,0,{},4,1.7770721912384033,3.895354986190796
clothes,WideDeep,0,./data_sets/clothes/checkpoint_WideDeep/config_0/fold_0/WideDeep-May-23-2025_15-44-35.pth,0,{},0,1.7827980518341064,2.896883010864258
clothes,WideDeep,1,./data_sets/clothes/checkpoint_WideDeep/config_0/fold_1/WideDeep-May-23-2025_15-44-43.pth,0,{},1,1.7651615142822266,2.92785382270813
clothes,WideDeep,2,./data_sets/clothes/checkpoint_WideDeep/config_0/fold_2/WideDeep-May-23-2025_15-44-51.pth,0,{},2,1.7694096565246582,2.8935048580169678
clothes,WideDeep,3,./data_sets/clothes/checkpoint_WideDeep/config_0/fold_3/WideDeep-May-23-2025_15-44-59.pth,0,{},3,1.7890796661376953,2.921405076980591
clothes,WideDeep,4,./data_sets/clothes/checkpoint_WideDeep/config_0/fold_4/WideDeep-May-23-2025_15-45-06.pth,0,{},4,1.7774195671081543,2.893444538116455
clothes,xDeepFM,0,./data_sets/clothes/checkpoint_xDeepFM/config_0/fold_0/xDeepFM-May-23-2025_15-45-14.pth,0,{},0,1.79276704788208,21.166367769241333
clothes,xDeepFM,1,./data_sets/clothes/checkpoint_xDeepFM/config_0/fold_1/xDeepFM-May-23-2025_15-45-41.pth,0,{},1,1.7836251258850098,21.405179262161255
clothes,xDeepFM,2,./data_sets/clothes/checkpoint_xDeepFM/config_0/fold_2/xDeepFM-May-23-2025_15-46-07.pth,0,{},2,1.787489652633667,21.315414905548096
clothes,xDeepFM,3,./data_sets/clothes/checkpoint_xDeepFM/config_0/fold_3/xDeepFM-May-23-2025_15-46-33.pth,0,{},3,1.80118727684021,21.513736963272095
clothes,xDeepFM,4,./data_sets/clothes/checkpoint_xDeepFM/config_0/fold_4/xDeepFM-May-23-2025_15-47-00.pth,0,{},4,1.8064947128295898,21.540913343429565
