data_set_name,algorithm_name,fold_name,model_file,algorithm_config_index,algorithm_configuration,fold,evaluation_time,NDCG@1,HR@1,Recall@1,NDCG@3,HR@3,Recall@3,NDCG@5,HR@5,Recall@5,NDCG@10,HR@10,Recall@10,NDCG@20,HR@20,Recall@20
MovieLens-100K,BPR,0,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_0/BPR-Apr-25-2025_15-04-30.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,0.8816306591033936,0.28270042194092826,0.28270042194092826,0.28270042194092826,0.2623579601658213,0.5569620253164557,0.25785278949835955,0.2479877512734117,0.6821378340365682,0.23909985935302386,0.23272614439363454,0.8537271448663853,0.2312755341236352,0.20731648823465773,0.9324894514767933,0.24864003422529762
MovieLens-100K,BPR,1,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_1/BPR-Apr-25-2025_15-04-44.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,1.0509600639343262,0.26582278481012656,0.26582278481012656,0.26582278481012656,0.2571247149875336,0.5569620253164557,0.25457102672292603,0.24457101115616459,0.6877637130801688,0.23790436005625876,0.22582456712888777,0.8382559774964838,0.22615531444645337,0.20404655690220408,0.9282700421940928,0.2491139383804079
MovieLens-100K,BPR,2,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_2/BPR-Apr-25-2025_15-04-56.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,0.8993892669677734,0.2967651195499297,0.2967651195499297,0.2967651195499297,0.2691467128872604,0.5625879043600562,0.26207219878106003,0.2572221096345807,0.7018284106891702,0.24910923581809644,0.23922928965222626,0.8579465541490858,0.2406157212064384,0.21397131636761235,0.9465541490857946,0.2604667734481524
MovieLens-100K,BPR,3,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_3/BPR-Apr-25-2025_15-05-12.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,0.8861374855041504,0.2517580872011252,0.2517580872011252,0.2517580872011252,0.24051447032900375,0.5218002812939522,0.2390998593530243,0.23878867499117518,0.6765119549929677,0.23771683075480546,0.22750659140080182,0.8481012658227848,0.23317817516129724,0.20707477725805298,0.9493670886075949,0.2594907733811864
MovieLens-100K,BPR,4,./data_sets/MovieLens-100K/checkpoint_BPR/config_0/fold_4/BPR-Apr-25-2025_15-05-24.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,0.9033622741699219,0.2812939521800281,0.2812939521800281,0.2812939521800281,0.26771644673715017,0.5752461322081576,0.2634786685419603,0.258138301737322,0.69901547116737,0.2522503516174402,0.23422680108589555,0.8452883263009845,0.23219141383698333,0.20971645001549588,0.9367088607594937,0.25338181377962044
MovieLens-100K,CDAE,0,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_0/CDAE-Apr-25-2025_15-06-33.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",0,0.9823966026306152,0.459915611814346,0.459915611814346,0.459915611814346,0.4292719798950757,0.7412095639943741,0.42006563525550855,0.40225986111293965,0.8466947960618847,0.3854195968120012,0.36487384618604374,0.9381153305203939,0.35569676065456646,0.31865815412096093,0.9831223628691983,0.3740687397159882
MovieLens-100K,CDAE,1,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_1/CDAE-Apr-25-2025_15-06-41.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",1,1.0254406929016113,0.4669479606188467,0.4669479606188467,0.4669479606188467,0.42608206168209145,0.7580872011251758,0.414908579465542,0.4032659853859155,0.8410689170182841,0.3872714486638529,0.3631907602234383,0.9268635724331927,0.35504375683700573,0.3164208501707551,0.9704641350210971,0.37017569601647543
MovieLens-100K,CDAE,2,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_2/CDAE-Apr-25-2025_15-06-48.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",2,0.8785650730133057,0.4767932489451477,0.4767932489451477,0.4767932489451477,0.43327158948392375,0.7482419127988749,0.42147210501640875,0.41221187516853597,0.8481012658227848,0.39716361931551764,0.3658473725783149,0.9381153305203939,0.3604692697519701,0.3207563655176229,0.9746835443037974,0.37776230463572896
MovieLens-100K,CDAE,3,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_3/CDAE-Apr-25-2025_15-06-58.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",3,0.8622941970825195,0.4908579465541491,0.4908579465541491,0.4908579465541491,0.4476506450875879,0.7735583684950773,0.4364744491326768,0.41852691128554165,0.8523206751054853,0.39941397093295755,0.3756935772531098,0.939521800281294,0.364307481079633,0.32428525796450464,0.980309423347398,0.37726667596068447
MovieLens-100K,CDAE,4,./data_sets/MovieLens-100K/checkpoint_CDAE/config_0/fold_4/CDAE-Apr-25-2025_15-07-05.pth,0,"{'embedding_size': 64, 'learning_rate': 0.01}",4,0.8914391994476318,0.4739803094233474,0.4739803094233474,0.4739803094233474,0.44240174473516936,0.7510548523206751,0.43366150961087674,0.41519977375962586,0.8410689170182841,0.39859353023909966,0.3725106108855316,0.9240506329113924,0.3618947156921839,0.32284421796114904,0.960618846694796,0.3753705604564834
